data.date,data.resultSet.recipients_matched.0.ALLOW_PHIS_SIMULATION_WOMBAT,data.resultSet.recipients_matched.1.BLOC_SEC_BLACKLIST_QUARANTINE,data.resultSet.recipients_matched.10.BLOCK_SPAM_POSITIVE,data.resultSet.recipients_matched.11.BLOCK_SPAM_SDR_AWFUL,data.resultSet.recipients_matched.12.BLOCK_SPAM_SDR_AWFUL_RLUZYGAS,data.resultSet.recipients_matched.13.BLOCK_SPAM_SDR_POOR,data.resultSet.recipients_matched.14.BLOCK_SPAM_SDR_POOR_RLUZYGAS,data.resultSet.recipients_matched.15.BLOCK_SPAM_SUSPECT,data.resultSet.recipients_matched.16.BLOCK_YAMMER,data.resultSet.recipients_matched.17.DMARC_FAILURE,data.resultSet.recipients_matched.18.ESTUDIO_POSITIVO_SPAM,data.resultSet.recipients_matched.19.ESTUDIO_SUSPECTED_SPAM,data.resultSet.recipients_matched.2.BLOCK_SEC_ANTIVIRUS,data.resultSet.recipients_matched.20.MON_EIC_MAIL_CHIMP,data.resultSet.recipients_matched.21.MON_EIC_O365,data.resultSet.recipients_matched.22.MON_WL_AS_IP_DMARC,data.resultSet.recipients_matched.23.MONITOR_GRAYMAIL_NONE,data.resultSet.recipients_matched.24.MONITOR_GRAYMAIL_ZERO,data.resultSet.recipients_matched.25.MONITOR_WL_AS_IP_POS,data.resultSet.recipients_matched.26.MONITOR_WL_AS_IP_SUS,data.resultSet.recipients_matched.27.SPF_HARDFAIL,data.resultSet.recipients_matched.28.URL_QUARANTINE_MALICIOUS,data.resultSet.recipients_matched.3.BLOCK_SEC_Asunto_Mail_Delivered,data.resultSet.recipients_matched.4.BLOCK_SEC_BITCOIN,data.resultSet.recipients_matched.5.BLOCK_SEC_BLACKLIST_SOC_SPAM_INFO,data.resultSet.recipients_matched.6.BLOCK_SEC_EIC_Repsol,data.resultSet.recipients_matched.7.BLOCK_SEC_EIC_resto,data.resultSet.recipients_matched.8.BLOCK_SEC_extensiones_Peligrosas,data.resultSet.recipients_matched.9.BLOCK_SEC_MIME_Type_peligrosos,data.type,meta.totalCount,source_file
01/08/2022,29,90,14147,776,0,1274,0,4219,81780,1576,71,0,372,17,12,23,4629,2587,22,53,760,828,6792,0,25,24,68,48,0,mail_content_filter_incoming,0,20220801-PRO-ICF.json
02/08/2022,11,106,14149,780,0,1284,0,4220,81774,1570,64,8,392,2,12,21,4622,2580,35,54,754,840,6789,7,25,25,79,43,0,mail_content_filter_incoming,4,20220802-PRO-ICF.json
03/08/2022,14,103,14140,768,7,1290,0,4232,81783,1575,52,3,375,11,15,10,4613,2581,33,41,744,835,6804,0,38,36,84,37,0,mail_content_filter_incoming,0,20220803-PRO-ICF.json
04/08/2022,13,105,14142,774,3,1287,4,4214,81793,1580,55,1,390,12,16,6,4619,2580,21,56,756,824,6799,0,33,33,71,34,0,mail_content_filter_incoming,3,20220804-PRO-ICF.json
05/08/2022,14,88,14132,781,0,1292,9,4214,81792,1562,65,18,388,18,22,13,4620,2580,25,46,750,832,6786,0,20,39,67,38,2,mail_content_filter_incoming,0,20220805-PRO-ICF.json
06/08/2022,25,102,14139,767,10,1282,0,4227,81790,1573,69,0,380,3,8,7,4629,2575,26,57,759,824,6785,0,38,33,73,32,0,mail_content_filter_incoming,3,20220806-PRO-ICF.json
07/08/2022,21,104,14132,782,3,1285,0,4226,81792,1576,55,12,382,18,12,11,4613,2587,15,55,759,826,6784,0,26,25,83,39,0,mail_content_filter_incoming,1,20220807-PRO-ICF.json
08/08/2022,11,94,14148,765,4,1287,10,4231,81779,1572,67,12,381,7,10,23,4612,2577,28,46,747,836,6791,0,22,20,66,38,5,mail_content_filter_incoming,4,20220808-PRO-ICF.json
09/08/2022,22,97,14129,781,2,1289,0,4224,81782,1572,65,17,389,17,25,10,4627,2581,23,52,757,820,6798,3,19,26,78,43,8,mail_content_filter_incoming,2,20220809-PRO-ICF.json
10/08/2022,13,94,14134,782,9,1277,0,4222,81776,1578,52,9,376,18,18,15,4618,2576,33,59,749,823,6799,0,36,26,79,39,1,mail_content_filter_incoming,0,20220810-PRO-ICF.json
11/08/2022,19,92,14146,763,6,1280,0,4220,81786,1575,69,7,387,15,26,18,4626,2574,17,48,749,832,6790,1,26,30,73,50,0,mail_content_filter_incoming,0,20220811-PRO-ICF.json
12/08/2022,29,102,14134,764,0,1289,0,4215,81785,1575,54,18,375,20,7,7,4616,2592,24,41,749,823,6784,8,27,35,80,45,0,mail_content_filter_incoming,7,20220812-PRO-ICF.json
13/08/2022,22,90,14134,772,9,1292,0,4227,81776,1574,61,12,389,8,22,20,4627,2588,17,58,743,833,6791,10,22,28,69,33,0,mail_content_filter_incoming,0,20220813-PRO-ICF.json
14/08/2022,26,101,14143,764,0,1282,7,4217,81782,1574,67,3,385,0,26,22,4619,2579,24,56,742,837,6785,0,34,31,84,46,10,mail_content_filter_incoming,3,20220814-PRO-ICF.json
15/08/2022,15,94,14141,783,0,1289,0,4217,81789,1578,62,3,390,14,9,19,4626,2574,19,52,762,824,6796,0,31,21,75,46,2,mail_content_filter_incoming,0,20220815-PRO-ICF.json
16/08/2022,28,99,14137,777,0,1274,4,4222,81790,1565,54,14,391,11,24,12,4632,2587,23,53,751,826,6791,5,36,24,72,45,10,mail_content_filter_incoming,2,20220816-PRO-ICF.json
17/08/2022,20,103,14143,765,0,1281,2,4230,81784,1562,64,0,388,8,23,6,4626,2585,23,57,754,840,6792,0,26,35,74,41,0,mail_content_filter_incoming,1,20220817-PRO-ICF.json
18/08/2022,16,98,14135,766,4,1276,0,4233,81793,1579,52,1,375,10,13,7,4630,2580,17,56,748,838,6795,7,38,31,66,43,0,mail_content_filter_incoming,0,20220818-PRO-ICF.json
19/08/2022,21,100,14131,767,0,1293,10,4231,81790,1570,64,19,375,16,15,17,4628,2593,28,42,745,840,6799,4,20,22,75,50,0,mail_content_filter_incoming,10,20220819-PRO-ICF.json
20/08/2022,24,94,14142,780,9,1293,10,4230,81773,1579,60,0,375,5,14,12,4622,2585,15,44,746,838,6795,7,29,23,73,49,0,mail_content_filter_incoming,2,20220820-PRO-ICF.json
21/08/2022,28,88,14132,763,5,1287,0,4217,81785,1577,59,16,372,17,17,5,4624,2575,28,39,756,822,6790,0,24,24,73,40,0,mail_content_filter_incoming,0,20220821-PRO-ICF.json
22/08/2022,14,106,14147,777,8,1294,10,4232,81783,1580,62,4,376,14,8,18,4626,2594,24,47,760,821,6804,0,23,40,80,45,8,mail_content_filter_incoming,1,20220822-PRO-ICF.json
23/08/2022,20,96,14131,773,0,1291,2,4222,81781,1579,56,10,384,2,24,7,4623,2583,35,51,746,839,6797,0,37,21,85,51,0,mail_content_filter_incoming,0,20220823-PRO-ICF.json
24/08/2022,28,96,14147,777,4,1283,2,4229,81789,1573,57,6,386,19,10,11,4613,2594,30,50,759,823,6791,7,25,29,80,37,1,mail_content_filter_incoming,6,20220824-PRO-ICF.json
25/08/2022,25,100,14149,782,4,1276,0,4228,81792,1577,52,20,375,16,24,10,4616,2583,28,39,761,831,6793,0,27,23,66,38,3,mail_content_filter_incoming,0,20220825-PRO-ICF.json
26/08/2022,10,93,14130,783,0,1283,1,4214,81793,1570,60,3,373,11,19,15,4626,2586,25,44,757,835,6794,0,34,32,82,46,0,mail_content_filter_incoming,1,20220826-PRO-ICF.json
27/08/2022,20,99,14131,781,0,1290,1,4225,81783,1580,60,7,390,3,6,8,4627,2590,27,56,745,828,6785,9,22,34,76,42,4,mail_content_filter_incoming,0,20220827-PRO-ICF.json
28/08/2022,22,100,14145,774,0,1291,10,4231,81778,1564,65,16,390,1,9,19,4616,2583,20,44,752,827,6786,0,28,40,67,45,4,mail_content_filter_incoming,1,20220828-PRO-ICF.json
29/08/2022,16,99,14143,769,0,1293,0,4223,81783,1571,64,4,381,11,22,20,4615,2584,22,53,745,828,6798,0,19,25,79,44,5,mail_content_filter_incoming,4,20220829-PRO-ICF.json
30/08/2022,20,88,14131,775,6,1288,7,4221,81792,1579,55,4,384,3,18,14,4622,2591,26,43,748,839,6785,8,35,26,76,48,0,mail_content_filter_incoming,6,20220830-PRO-ICF.json
31/08/2022,10,105,14130,781,0,1280,0,4227,81783,1573,56,13,387,6,19,19,4631,2589,16,43,758,826,6789,6,38,39,77,35,0,mail_content_filter_incoming,7,20220831-PRO-ICF.json
01/09/2022,24,93,14147,770,0,1275,6,4220,81793,1567,53,3,378,13,16,18,4615,2578,15,56,747,833,6801,0,35,28,69,34,9,mail_content_filter_incoming,10,20220901-PRO-ICF.json
02/09/2022,17,92,14141,776,6,1284,0,4225,81776,1565,56,15,372,10,13,3,4620,2586,22,53,750,830,6794,0,36,26,70,50,10,mail_content_filter_incoming,0,20220902-PRO-ICF.json
03/09/2022,15,105,14147,778,0,1290,4,4214,81787,1564,68,13,389,14,24,4,4629,2588,24,39,754,828,6788,0,28,36,79,34,0,mail_content_filter_incoming,0,20220903-PRO-ICF.json
04/09/2022,23,98,14136,769,0,1277,9,4214,81787,1579,53,7,376,1,18,17,4619,2591,21,40,746,836,6792,0,21,21,78,50,0,mail_content_filter_incoming,0,20220904-PRO-ICF.json
05/09/2022,25,91,14140,765,7,1280,0,4221,81785,1579,71,1,384,2,12,21,4629,2580,30,45,752,829,6791,0,24,30,85,33,4,mail_content_filter_incoming,0,20220905-PRO-ICF.json
06/09/2022,27,94,14143,768,1,1279,0,4230,81788,1565,69,20,387,1,22,4,4614,2575,15,52,746,840,6801,10,28,28,80,51,5,mail_content_filter_incoming,0,20220906-PRO-ICF.json
07/09/2022,16,96,14146,778,0,1294,0,4218,81775,1575,65,20,374,10,24,6,4628,2575,22,45,760,835,6804,10,19,22,77,43,2,mail_content_filter_incoming,0,20220907-PRO-ICF.json
08/09/2022,21,100,14131,771,0,1286,10,4217,81785,1570,63,3,377,2,6,12,4626,2585,23,42,746,822,6802,2,20,39,74,38,0,mail_content_filter_incoming,0,20220908-PRO-ICF.json
09/09/2022,24,106,14139,782,2,1284,4,4223,81786,1580,71,4,391,9,16,22,4618,2589,25,44,754,830,6790,4,21,24,74,31,2,mail_content_filter_incoming,0,20220909-PRO-ICF.json
10/09/2022,29,89,14149,783,2,1284,3,4216,81773,1563,60,7,375,16,22,20,4630,2592,22,53,753,832,6791,1,23,40,84,32,8,mail_content_filter_incoming,4,20220910-PRO-ICF.json
11/09/2022,14,92,14142,775,0,1280,0,4221,81775,1578,55,17,392,5,17,13,4618,2588,18,47,757,836,6797,2,18,39,71,45,8,mail_content_filter_incoming,10,20220911-PRO-ICF.json
12/09/2022,23,106,14145,783,5,1287,5,4226,81787,1575,57,2,373,18,6,10,4621,2575,23,46,759,829,6795,0,33,24,71,43,7,mail_content_filter_incoming,0,20220912-PRO-ICF.json
13/09/2022,26,92,14142,764,0,1294,0,4217,81780,1564,62,7,382,12,21,7,4630,2594,23,59,755,832,6793,0,36,28,81,34,0,mail_content_filter_incoming,4,20220913-PRO-ICF.json
14/09/2022,13,107,14140,783,0,1275,2,4233,81782,1567,65,20,381,2,9,3,4618,2589,17,43,760,827,6789,0,20,40,76,39,0,mail_content_filter_incoming,6,20220914-PRO-ICF.json
15/09/2022,19,91,14148,772,0,1283,0,4229,81792,1576,58,12,379,9,26,4,4619,2589,27,42,749,835,6792,10,20,27,82,50,9,mail_content_filter_incoming,10,20220915-PRO-ICF.json
16/09/2022,21,105,14136,765,3,1277,4,4232,81792,1561,61,5,392,3,6,7,4612,2579,30,50,758,836,6804,10,20,29,78,38,0,mail_content_filter_incoming,0,20220916-PRO-ICF.json
17/09/2022,19,94,14130,768,0,1290,0,4225,81775,1574,61,9,385,10,8,20,4626,2574,26,45,751,838,6794,0,20,38,76,34,6,mail_content_filter_incoming,0,20220917-PRO-ICF.json
18/09/2022,27,105,14139,773,4,1282,0,4215,81779,1564,70,3,373,4,9,8,4626,2588,25,52,745,837,6797,0,25,29,73,41,2,mail_content_filter_incoming,1,20220918-PRO-ICF.json
