data.date,data.resultSet.0.failed_dkim,data.resultSet.1.total_graymail_recipients,data.resultSet.10.marketing_mail,data.resultSet.11.ims_spam_increment_over_case,data.resultSet.12.total_mailbox_auto_remediated_recipients,data.resultSet.13.detected_spam_certain,data.resultSet.14.detected_spam_suspect,data.resultSet.15.blocked_dmarc,data.resultSet.16.total_threat_recipients,data.resultSet.17.total_recipients,data.resultSet.18.verif_decrypt_fail,data.resultSet.19.detected_amp,data.resultSet.2.detected_spam,data.resultSet.20.bulk_mail,data.resultSet.21.social_mail,data.resultSet.22.total_clean_recipients,data.resultSet.23.detected_virus_per_msg,data.resultSet.24.failed_spf,data.resultSet.25.blocked_reputation,data.resultSet.3.malicious_url,data.resultSet.4.total_spoofed_emails,data.resultSet.5.verif_decrypt_success,data.resultSet.6.detected_virus,data.resultSet.7.threat_content_filter,data.resultSet.8.blocked_invalid_recipient,data.resultSet.9.blocked_sdr,data.type,meta.totalCount,source_file
01/08/2022,0,214167,48329,2,2,17066,4404,18441,176912,821855,0,23,21456,73468,92348,430774,146,1160,146121,68,19589,0,987,8108,113,4,mail_incoming_traffic_summary,15,20220801-PRO-IM.json
02/08/2022,0,214162,48338,2,0,17051,4412,18455,176900,821839,0,15,21450,73486,92336,430778,145,1143,146122,67,19602,7,985,8123,124,10,mail_incoming_traffic_summary,9,20220802-PRO-IM.json
03/08/2022,7,214158,48332,8,0,17056,4408,18460,176909,821852,6,25,21450,73469,92338,430772,128,1151,146110,75,19602,0,985,8121,130,5,mail_incoming_traffic_summary,15,20220803-PRO-IM.json
04/08/2022,0,214162,48343,0,0,17054,4401,18453,176913,821853,0,23,21460,73467,92336,430777,126,1153,146118,67,19587,4,994,8108,112,12,mail_incoming_traffic_summary,11,20220804-PRO-IM.json
05/08/2022,10,214163,48328,8,0,17063,4404,18444,176909,821840,0,22,21460,73475,92336,430779,143,1150,146129,70,19587,0,991,8124,129,0,mail_incoming_traffic_summary,17,20220805-PRO-IM.json
06/08/2022,0,214155,48343,4,10,17051,4403,18445,176903,821851,0,16,21455,73476,92344,430772,134,1146,146113,71,19586,1,983,8112,114,3,mail_incoming_traffic_summary,9,20220806-PRO-IM.json
07/08/2022,3,214156,48336,3,0,17064,4400,18446,176911,821850,0,30,21456,73484,92340,430777,143,1141,146119,79,19595,0,986,8121,120,5,mail_incoming_traffic_summary,6,20220807-PRO-IM.json
08/08/2022,0,214171,48336,5,10,17063,4409,18457,176912,821843,5,25,21453,73474,92338,430785,134,1157,146125,63,19599,0,991,8121,128,11,mail_incoming_traffic_summary,17,20220808-PRO-IM.json
09/08/2022,0,214166,48344,0,0,17067,4409,18444,176912,821843,0,19,21451,73478,92341,430771,140,1151,146120,74,19589,9,994,8105,123,10,mail_incoming_traffic_summary,9,20220809-PRO-IM.json
10/08/2022,9,214157,48346,1,0,17060,4411,18443,176911,821849,10,25,21464,73470,92344,430770,142,1161,146118,61,19596,7,990,8116,113,8,mail_incoming_traffic_summary,16,20220810-PRO-IM.json
