data.date,data.resultSet.0.detected_virus,data.resultSet.1.cres_successful,data.resultSet.10.detected_spam,data.resultSet.11.total_hard_bounces,data.resultSet.12.detected_virus_per_msg,data.resultSet.13.malicious_url,data.resultSet.14.total_recipients_delivered,data.resultSet.2.cres_failed,data.resultSet.3.threat_content_filter,data.resultSet.4.total_dlp_incidents,data.resultSet.5.total_clean_recipients,data.resultSet.6.total_recipients_processed,data.resultSet.7.ims_spam_increment_over_case,data.resultSet.8.detected_amp,data.resultSet.9.total_recipients,data.type,meta.totalCount,source_file
01/08/2022,0,0,0,3447,2,0,174478,0,7645,0,170155,177798,8,20,177929,mail_outgoing_traffic_summary,19,20220801-PRO-OM.json
02/08/2022,0,7,3,3441,5,0,174478,0,7641,7,170151,177810,4,3,177927,mail_outgoing_traffic_summary,15,20220802-PRO-OM.json
03/08/2022,0,0,6,3443,0,5,174476,0,7658,0,170150,177792,0,10,177920,mail_outgoing_traffic_summary,16,20220803-PRO-OM.json
04/08/2022,5,0,0,3437,9,5,174486,0,7647,0,170144,177808,11,1,177928,mail_outgoing_traffic_summary,15,20220804-PRO-OM.json
05/08/2022,0,0,9,3442,1,0,174490,0,7646,0,170146,177807,0,8,177927,mail_outgoing_traffic_summary,7,20220805-PRO-OM.json
06/08/2022,0,4,0,3438,0,1,174490,1,7647,0,170150,177790,0,12,177928,mail_outgoing_traffic_summary,15,20220806-PRO-OM.json
07/08/2022,9,10,0,3445,7,10,174489,0,7652,4,170157,177796,10,15,177923,mail_outgoing_traffic_summary,9,20220807-PRO-OM.json
08/08/2022,0,0,0,3448,0,0,174472,0,7646,0,170153,177807,0,4,177922,mail_outgoing_traffic_summary,12,20220808-PRO-OM.json
09/08/2022,0,5,0,3436,0,0,174470,0,7655,0,170154,177797,14,2,177938,mail_outgoing_traffic_summary,18,20220809-PRO-OM.json
10/08/2022,3,8,8,3455,3,0,174470,0,7648,0,170145,177798,8,7,177932,mail_outgoing_traffic_summary,14,20220810-PRO-OM.json
